amfi_code,scheme_name,fund_house,category,expense_ratio_pct,risk_category,cagr_3yr_pct,sharpe_ratio,ann_std_dev,sortino_ratio,alpha,beta,max_drawdown_pct,score_return,score_sharpe,score_alpha,score_expense,score_drawdown,composite_score,rank
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.61,High,26.86,1.1321,17.75,1.8751,26.5986,-0.0025,-17.2481,75.0,87.5,82.5,7.5,55.00000000000001,67.5,12
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.6,Moderate,28.96,1.0272,14.57,1.7996,21.3998,0.0211,-11.2916,80.0,80.0,72.5,11.25,22.5,62.44,13
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.72,Moderate,21.08,0.6452,14.0,1.1545,15.6438,-0.0366,-18.6297,65.0,50.0,47.5,88.75,65.0,61.31,14
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.66,Moderate,16.26,0.9533,13.94,1.6098,19.8686,-0.0262,-11.8035,45.0,72.5,65.0,92.5,27.500000000000004,61.25,15
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.92,Moderate,18.43,0.7758,14.67,1.3307,17.7298,0.0488,-15.2,55.00000000000001,57.49999999999999,62.5,67.5,45.0,58.0,16
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,1.41,Moderately High,18.42,0.6489,15.23,1.0959,16.2539,0.0419,-19.8257,52.5,52.5,52.5,55.00000000000001,67.5,54.38,17
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.89,Moderate,20.0,0.6649,12.98,1.138,15.1364,-0.0014,-11.5115,60.0,55.00000000000001,45.0,70.0,25.0,53.75,18
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.75,Moderate,20.81,0.1296,13.98,0.2211,8.2328,0.0259,-21.7514,62.5,30.0,32.5,82.5,77.5,52.88,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,1.52,Moderately High,14.74,0.9263,15.43,1.6327,20.873,-0.0264,-15.2726,42.5,65.0,67.5,36.25,47.5,52.69,20
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.64,Moderately High,25.55,0.6195,15.76,1.0888,16.2113,0.0167,-21.2854,70.0,47.5,50.0,3.75,75.0,50.94,21
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,1.42,Moderate,13.97,0.798,13.88,1.3379,17.7033,-0.0403,-13.8979,40.0,60.0,60.0,52.5,35.0,50.38,22
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,1.57,Moderate,19.66,0.8171,12.84,1.4357,17.0488,-0.0195,-10.8599,57.49999999999999,62.5,55.00000000000001,17.5,17.5,48.25,23
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.78,High,11.24,0.3006,18.35,0.5088,11.9891,0.0091,-21.1173,37.5,35.0,37.5,77.5,72.5,46.38,24
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,1.53,Very High,8.01,0.4484,25.24,0.746,17.5007,0.1035,-23.3449,35.0,37.5,57.49999999999999,31.25,80.0,44.06,25
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,1.54,Moderate,18.04,0.464,14.35,0.7621,13.1732,-0.0041,-14.112,50.0,40.0,42.5,26.25,37.5,41.19,26
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.59,Moderate,17.26,0.4943,13.46,0.8626,13.0429,0.0364,-17.5736,47.5,42.5,40.0,15.0,60.0,41.12,27
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.74,Low,7.39,0.4957,0.49,1.0521,6.7462,-0.0004,-0.0977,30.0,45.0,25.0,85.0,2.5,38.25,28
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.56,High,7.75,0.076,17.89,0.1247,7.8044,0.0181,-24.0035,32.5,27.500000000000004,30.0,20.0,82.5,33.88,29
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.72,Very High,-1.34,-0.0572,24.95,-0.0944,4.8824,0.062,-52.5742,7.5,22.5,12.5,88.75,100.0,33.69,30
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.6,Low,6.69,-0.0887,0.51,-0.1877,6.4557,-0.0004,-0.1163,27.500000000000004,17.5,22.5,95.0,5.0,31.88,31
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.53,Very High,-4.15,0.1627,25.8,0.2766,10.8971,-0.0653,-35.4469,5.0,32.5,35.0,31.25,95.0,30.81,32
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.55,Low,4.06,-0.3566,3.99,-0.6135,5.0748,0.0013,-8.3164,20.0,7.5,15.0,100.0,15.0,27.38,33
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,Very High,-11.7,-0.076,25.07,-0.1282,4.8016,-0.067,-51.6778,2.5,20.0,10.0,60.0,97.5,26.5,34
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.77,Low,5.84,-0.2266,3.97,-0.3768,5.6209,-0.0064,-4.3287,22.5,10.0,17.5,80.0,12.5,26.0,35
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.79,Low,6.31,-0.8156,0.51,-1.681,6.0861,0.0003,-0.1622,25.0,2.5,20.0,75.0,7.5,24.12,36
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.56,Low,3.92,-0.5671,3.91,-0.9418,4.2818,0.0012,-4.3083,17.5,5.0,7.5,97.5,10.0,23.62,37
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.51,High,-0.77,-0.2058,18.13,-0.3472,2.8969,-0.0421,-28.0011,10.0,12.5,2.5,41.25,87.5,21.56,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,1.55,Moderate,1.29,-0.2015,14.55,-0.351,3.7476,-0.0583,-24.7344,15.0,15.0,5.0,22.5,85.0,21.12,39
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,1.64,Moderate,0.53,0.0308,13.95,0.0526,6.8995,0.0097,-14.4016,12.5,25.0,27.500000000000004,3.75,40.0,20.06,40
