investor_id,num_sips,avg_gap_days,avg_amount,total_sip,at_risk
INV000334,7,25.5,6245.714285714285,43720,False
INV000335,6,96.0,11474.666666666666,68848,True
INV000339,6,94.0,12426.0,74556,True
INV000341,8,54.4,9557.5,76460,True
INV000356,6,54.4,12144.166666666666,72865,True
INV000359,9,54.1,10383.444444444445,93451,True
INV000363,7,77.0,8525.285714285714,59677,True
INV000369,6,43.8,3775.6666666666665,22654,True
INV000371,8,59.3,8998.125,71985,True
INV000372,7,54.5,12839.0,89873,True
INV000380,6,97.0,12116.666666666666,72700,True
INV000388,9,53.6,12157.777777777777,109420,True
INV000392,7,77.2,5647.142857142857,39530,True
INV000395,7,55.7,3286.285714285714,23004,True
INV000396,6,83.2,7674.833333333333,46049,True
INV000399,10,49.6,5819.3,58193,True
INV000400,6,62.6,3542.6666666666665,21256,True
INV000403,6,58.2,12363.0,74178,True
INV000407,6,82.4,18687.166666666668,112123,True
INV000408,6,46.8,7895.666666666667,47374,True
INV000412,8,43.7,10930.125,87441,True
INV000414,8,66.3,11931.875,95455,True
INV000415,7,66.2,6110.714285714285,42775,True
INV000418,6,86.8,18916.166666666668,113497,True
INV000427,7,68.5,15163.57142857143,106145,True
INV000428,8,52.1,6793.75,54350,True
INV000429,6,77.2,19547.333333333332,117284,True
INV000437,6,97.8,5456.5,32739,True
INV000440,8,69.6,4205.875,33647,True
INV000441,6,60.8,7606.333333333333,45638,True
INV000444,6,73.2,12789.5,76737,True
INV000445,9,57.8,5877.555555555556,52898,True
INV000446,6,38.6,5199.166666666667,31195,True
INV000449,6,46.8,9927.833333333334,59567,True
INV000452,9,49.4,9363.333333333334,84270,True
INV000457,6,91.4,5454.166666666667,32725,True
INV000460,6,43.4,5894.833333333333,35369,True
INV000463,7,65.2,20594.714285714286,144163,True
INV000466,7,73.3,17878.714285714286,125151,True
INV000467,10,56.7,6540.8,65408,True
INV000469,7,70.5,4882.857142857143,34180,True
INV000483,8,70.4,17764.375,142115,True
INV000491,6,95.0,7168.0,43008,True
INV000493,10,47.6,13008.5,130085,True
INV000497,7,71.8,10298.142857142857,72087,True
INV000499,7,77.8,18192.0,127344,True
INV000507,7,70.2,8417.142857142857,58920,True
INV000512,9,54.8,8158.444444444444,73426,True
INV000522,6,100.8,4712.5,28275,True
INV000524,7,55.0,16938.714285714286,118571,True
INV000527,6,50.8,19261.666666666668,115570,True
INV000529,6,59.2,3837.8333333333335,23027,True
INV000531,7,47.0,21654.85714285714,151584,True
INV000539,7,77.0,15338.714285714286,107371,True
INV000540,7,73.5,11182.285714285714,78276,True
INV000543,7,83.7,23244.428571428572,162711,True
INV000545,6,80.6,8091.333333333333,48548,True
INV000546,9,55.0,10222.444444444445,92002,True
INV000547,6,55.8,6189.166666666667,37135,True
INV000549,6,96.2,14464.0,86784,True
INV000553,6,72.0,9116.333333333334,54698,True
INV000554,6,70.2,9456.833333333334,56741,True
INV000556,8,52.4,15802.0,126416,True
INV000562,6,74.4,8048.666666666667,48292,True
INV000563,7,76.3,8479.714285714286,59358,True
INV000566,7,35.0,17144.14285714286,120009,False
INV000567,6,63.8,5546.166666666667,33277,True
INV000568,6,62.4,17825.5,106953,True
INV000570,8,67.3,17030.25,136242,True
INV000573,7,50.8,16376.0,114632,True
INV000575,6,71.6,7198.666666666667,43192,True
INV000578,7,66.8,13142.285714285714,91996,True
INV000581,7,78.3,8409.0,58863,True
INV000586,7,44.5,19731.714285714286,138122,True
INV000589,9,59.1,7705.0,69345,True
INV000591,7,64.5,2266.714285714286,15867,True
INV000593,6,74.2,5179.666666666667,31078,True
INV000596,9,51.8,18879.444444444445,169915,True
INV000597,6,88.6,13748.0,82488,True
INV000599,7,81.5,14822.57142857143,103758,True
INV000607,7,66.7,5527.571428571428,38693,True
INV000608,6,100.2,7579.166666666667,45475,True
INV000609,6,47.0,7368.666666666667,44212,True
INV000612,11,49.3,11240.727272727272,123648,True
INV000615,7,55.8,4225.285714285715,29577,True
INV000624,7,31.7,18848.14285714286,131937,False
INV000625,6,86.4,3899.5,23397,True
INV000630,7,68.7,7883.142857142857,55182,True
INV000631,6,54.0,7553.166666666667,45319,True
INV000634,9,52.2,10955.0,98595,True
INV000635,6,75.0,5027.166666666667,30163,True
INV000641,6,54.8,15470.833333333334,92825,True
INV000642,9,53.5,12201.888888888889,109817,True
INV000645,6,66.0,4441.0,26646,True
INV000646,7,62.3,10887.42857142857,76212,True
INV000651,6,94.0,5730.166666666667,34381,True
INV000652,6,93.8,5806.166666666667,34837,True
INV000657,8,64.7,12923.5,103388,True
INV000662,8,66.1,4279.75,34238,True
INV000663,6,94.4,13886.0,83316,True
INV000665,10,36.2,5614.0,56140,True
INV000667,6,68.0,19619.166666666668,117715,True
INV000673,6,92.8,24255.5,145533,True
INV000675,6,62.8,3860.0,23160,True
INV000676,11,35.3,15885.545454545454,174741,True
INV000678,7,63.3,5231.857142857143,36623,True
INV000683,9,54.5,5297.555555555556,47678,True
INV000690,8,56.3,21146.375,169171,True
INV000691,6,66.4,8393.833333333334,50363,True
INV000698,9,52.2,8649.777777777777,77848,True
INV000699,6,42.8,8594.666666666666,51568,True
INV000701,7,83.7,7355.142857142857,51486,True
INV000707,9,34.4,5665.333333333333,50988,False
INV000709,7,65.2,20532.0,143724,True
INV000710,6,88.6,10495.833333333334,62975,True
INV000714,9,37.0,5279.888888888889,47519,True
INV000718,7,57.8,7531.285714285715,52719,True
INV000719,7,72.8,18750.285714285714,131252,True
INV000724,6,81.2,5546.833333333333,33281,True
INV000725,7,67.7,12851.714285714286,89962,True
INV000734,8,64.0,13509.5,108076,True
INV000737,6,92.6,24390.166666666668,146341,True
INV000747,6,84.6,14489.833333333334,86939,True
INV000750,9,26.5,10664.333333333334,95979,False
INV000751,9,53.0,4684.777777777777,42163,True
INV000754,7,72.3,13945.142857142857,97616,True
INV000759,7,83.0,6291.142857142857,44038,True
INV000761,7,75.2,16496.285714285714,115474,True
INV000768,8,60.0,10134.375,81075,True
INV000772,6,46.0,14796.5,88779,True
INV000774,7,73.7,11959.285714285714,83715,True
INV000776,8,59.4,5053.0,40424,True
INV000777,6,66.0,3491.0,20946,True
INV000778,8,59.7,12404.625,99237,True
INV000779,6,75.0,2035.8333333333333,12215,True
INV000783,6,89.8,23029.166666666668,138175,True
INV000785,6,32.6,4885.333333333333,29312,False
INV000786,9,64.1,8206.555555555555,73859,True
INV000789,8,55.1,13835.375,110683,True
INV000793,8,69.1,13141.125,105129,True
INV000803,7,77.2,10773.142857142857,75412,True
INV000814,6,94.0,18618.0,111708,True
INV000822,7,55.5,9847.57142857143,68933,True
INV000823,7,39.7,7056.428571428572,49395,True
INV000827,8,58.3,5769.875,46159,True
INV000830,6,72.2,12856.833333333334,77141,True
INV000833,8,67.3,11087.375,88699,True
INV000836,6,84.8,21329.0,127974,True
INV000843,6,55.6,8247.333333333334,49484,True
INV000844,7,66.2,6949.571428571428,48647,True
INV000847,6,47.8,3461.8333333333335,20771,True
INV000853,10,49.3,6186.5,61865,True
INV000854,9,61.2,16595.0,149355,True
INV000858,9,44.9,7879.777777777777,70918,True
INV000862,6,91.2,19856.5,119139,True
INV000864,6,40.8,12031.833333333334,72191,True
INV000865,9,45.8,18320.555555555555,164885,True
INV000869,6,65.4,4900.0,29400,True
INV000873,7,73.5,6405.571428571428,44839,True
INV000874,9,62.1,4321.666666666667,38895,True
INV000877,6,59.4,19343.666666666668,116062,True
INV000881,10,46.1,6143.7,61437,True
INV000887,7,65.7,16553.85714285714,115877,True
INV000888,7,80.3,14059.0,98413,True
INV000893,7,59.5,13315.42857142857,93208,True
INV000894,6,55.0,6165.666666666667,36994,True
INV000901,6,54.0,6016.666666666667,36100,True
INV000907,6,59.2,4420.0,26520,True
INV000920,6,75.6,16275.333333333334,97652,True
INV000926,6,80.0,11168.666666666666,67012,True
INV000929,7,58.2,21448.428571428572,150139,True
INV000930,8,32.4,11623.625,92989,False
INV000935,9,30.9,16980.444444444445,152824,False
INV000939,8,60.6,8688.375,69507,True
INV000942,7,53.0,19784.714285714286,138493,True
INV000949,7,67.5,7112.0,49784,True
INV000950,6,91.0,6197.0,37182,True
INV000971,7,46.8,5562.857142857143,38940,True
INV000974,7,73.5,5717.428571428572,40022,True
INV000977,10,48.8,12973.5,129735,True
INV000979,6,79.8,23575.0,141450,True
INV000980,8,44.4,26064.75,208518,True
INV000981,6,50.4,11407.0,68442,True
INV000986,7,60.8,23769.714285714286,166388,True
INV000994,6,63.8,9302.833333333334,55817,True
INV001001,8,60.3,8466.375,67731,True
INV001002,7,41.7,5442.571428571428,38098,True
INV001005,6,93.6,12422.5,74535,True
INV001008,7,64.7,9032.42857142857,63227,True
INV001013,6,96.8,13639.666666666666,81838,True
INV001017,6,67.0,4641.0,27846,True
INV001019,9,44.9,6953.666666666667,62583,True
INV001021,7,68.7,7756.428571428572,54295,True
INV001023,8,72.4,4754.5,38036,True
INV001025,6,38.8,12834.833333333334,77009,True
INV001026,6,69.4,8600.0,51600,True
INV001037,10,42.0,7392.2,73922,True
INV001039,6,66.2,3306.6666666666665,19840,True
INV001041,7,83.0,10374.857142857143,72624,True
INV001047,7,66.2,7556.285714285715,52894,True
INV001048,8,47.0,4561.375,36491,True
INV001051,8,54.1,7181.375,57451,True
INV001053,8,55.9,5767.5,46140,True
INV001055,6,93.2,12851.5,77109,True
INV001060,9,53.4,12632.222222222223,113690,True
INV001061,9,51.1,11088.222222222223,99794,True
INV001063,8,43.3,3849.375,30795,True
INV001064,9,59.5,16849.777777777777,151648,True
INV001069,8,41.3,12028.75,96230,True
INV001070,6,97.0,17320.5,103923,True
INV001092,7,77.3,10804.57142857143,75632,True
INV001099,8,26.1,16967.375,135739,False
INV001102,7,55.3,12505.57142857143,87539,True
INV001115,6,81.4,8564.5,51387,True
INV001116,9,58.1,8303.111111111111,74728,True
INV001117,8,61.7,6735.25,53882,True
INV001130,7,76.8,19956.428571428572,139695,True
INV001137,7,57.0,5098.714285714285,35691,True
INV001140,6,60.4,6604.666666666667,39628,True
INV001141,6,97.6,5743.333333333333,34460,True
INV001142,7,42.8,8588.0,60116,True
INV001156,6,102.4,8662.833333333334,51977,True
INV001160,8,57.6,5630.375,45043,True
INV001161,6,80.6,24377.0,146262,True
INV001163,7,67.3,4839.571428571428,33877,True
INV001167,6,96.2,13004.0,78024,True
INV001170,6,68.2,11778.833333333334,70673,True
INV001173,6,67.0,9730.333333333334,58382,True
INV001178,7,79.7,5409.142857142857,37864,True
INV001180,6,74.4,17369.333333333332,104216,True
INV001181,8,67.4,11402.25,91218,True
INV001190,6,97.0,7624.0,45744,True
INV001195,8,53.4,15960.875,127687,True
INV001196,6,92.2,10306.666666666666,61840,True
INV001202,8,58.0,6864.875,54919,True
INV001206,6,83.6,12732.5,76395,True
INV001208,7,51.8,9780.857142857143,68466,True
INV001210,9,36.9,9343.333333333334,84090,True
INV001217,8,60.1,12382.625,99061,True
INV001219,8,50.9,11309.125,90473,True
INV001220,7,77.2,2630.0,18410,True
INV001223,7,70.8,11657.142857142857,81600,True
INV001234,8,60.6,11387.875,91103,True
INV001235,9,59.0,13996.222222222223,125966,True
INV001237,6,98.0,11129.666666666666,66778,True
INV001238,7,68.5,6508.571428571428,45560,True
INV001242,6,69.8,4443.0,26658,True
INV001251,6,82.0,23819.833333333332,142919,True
INV001262,7,44.8,19420.428571428572,135943,True
INV001274,7,73.3,8087.0,56609,True
INV001275,7,66.7,7382.285714285715,51676,True
INV001282,6,67.0,8395.666666666666,50374,True
INV001287,6,92.2,12419.833333333334,74519,True
INV001288,7,45.7,18177.14285714286,127240,True
INV001291,6,76.2,19679.333333333332,118076,True
INV001295,9,50.8,7427.0,66843,True
INV001298,7,71.8,1880.0,13160,True
INV001299,9,51.2,7545.111111111111,67906,True
INV001304,6,97.6,21267.5,127605,True
INV001308,9,54.6,16138.666666666666,145248,True
INV001310,6,81.2,8143.5,48861,True
INV001314,10,50.4,19602.8,196028,True
INV001315,7,51.8,8979.142857142857,62854,True
INV001316,6,92.4,2472.5,14835,True
INV001317,6,84.8,4932.0,29592,True
INV001318,10,46.2,11266.3,112663,True
INV001326,8,69.4,12885.25,103082,True
INV001329,6,68.2,10055.166666666666,60331,True
INV001331,6,94.2,5223.833333333333,31343,True
INV001332,7,80.0,8141.714285714285,56992,True
INV001333,7,78.7,1682.7142857142858,11779,True
INV001336,8,65.9,11856.5,94852,True
INV001348,7,47.8,13003.142857142857,91022,True
INV001351,7,70.5,20901.14285714286,146308,True
INV001355,6,60.2,6998.666666666667,41992,True
INV001356,6,79.2,6641.166666666667,39847,True
INV001359,7,72.5,15693.714285714286,109856,True
INV001361,7,50.5,14238.42857142857,99669,True
INV001367,6,99.0,11966.333333333334,71798,True
INV001375,7,78.5,6673.714285714285,46716,True
INV001376,7,78.7,9437.0,66059,True
INV001383,8,56.1,10010.0,80080,True
INV001387,9,57.2,12385.555555555555,111470,True
INV001394,8,63.6,15889.375,127115,True
INV001400,6,76.8,18648.833333333332,111893,True
INV001401,6,68.6,6570.166666666667,39421,True
INV001406,10,47.7,7149.4,71494,True
INV001407,6,45.2,8245.666666666666,49474,True
INV001415,8,68.1,6007.875,48063,True
INV001418,6,88.6,4614.666666666667,27688,True
INV001419,6,85.8,11238.0,67428,True
INV001423,8,48.6,8048.0,64384,True
INV001428,6,79.4,12005.333333333334,72032,True
INV001432,6,71.4,3776.0,22656,True
INV001434,6,80.6,12186.0,73116,True
INV001442,9,57.1,7468.555555555556,67217,True
INV001454,7,73.0,5381.0,37667,True
INV001455,8,64.7,5889.125,47113,True
INV001457,6,43.8,14324.5,85947,True
INV001458,7,59.8,11216.857142857143,78518,True
INV001466,6,44.6,17092.5,102555,True
INV001472,6,79.0,19989.5,119937,True
INV001482,6,80.6,14041.666666666666,84250,True
INV001485,9,55.0,12581.111111111111,113230,True
INV001491,6,98.8,6317.333333333333,37904,True
INV001497,9,63.0,8655.777777777777,77902,True
INV001504,9,54.2,14644.888888888889,131804,True
INV001507,6,86.2,4000.6666666666665,24004,True
INV001510,7,66.8,16169.285714285714,113185,True
INV001514,7,51.8,21436.571428571428,150056,True
INV001516,6,56.8,17787.833333333332,106727,True
INV001526,6,50.4,7605.333333333333,45632,True
INV001530,7,64.7,2585.714285714286,18100,True
INV001532,7,56.8,11822.42857142857,82757,True
INV001536,7,69.0,15443.857142857143,108107,True
INV001545,6,92.8,14331.0,85986,True
INV001547,7,72.2,10772.142857142857,75405,True
INV001548,6,80.6,11874.0,71244,True
INV001550,7,79.0,12274.857142857143,85924,True
INV001551,6,61.8,3034.1666666666665,18205,True
INV001562,10,44.2,6655.6,66556,True
INV001564,8,55.7,9286.0,74288,True
INV001569,6,83.4,14087.5,84525,True
INV001579,7,75.0,19122.14285714286,133855,True
INV001580,7,45.7,12203.857142857143,85427,True
INV001585,6,56.6,10181.833333333334,61091,True
INV001587,7,65.0,10350.285714285714,72452,True
INV001597,7,56.0,14155.857142857143,99091,True
INV001599,6,58.2,8780.166666666666,52681,True
INV001602,6,93.8,11051.666666666666,66310,True
INV001603,7,54.5,9150.142857142857,64051,True
INV001605,8,60.6,20236.0,161888,True
INV001606,7,67.7,13665.142857142857,95656,True
INV001616,9,53.0,17040.11111111111,153361,True
INV001623,6,92.0,10498.833333333334,62993,True
INV001625,6,72.0,2500.0,15000,True
INV001628,8,51.7,13924.25,111394,True
INV001629,7,67.5,4878.428571428572,34149,True
INV001631,6,57.0,1552.8333333333333,9317,True
INV001636,9,48.9,3992.777777777778,35935,True
INV001641,6,88.4,12854.833333333334,77129,True
INV001644,6,65.6,20627.5,123765,True
INV001645,6,67.6,8047.166666666667,48283,True
INV001649,10,51.7,11345.8,113458,True
INV001651,7,78.7,23184.714285714286,162293,True
INV001653,6,55.2,12773.166666666666,76639,True
INV001654,7,56.0,15545.142857142857,108816,True
INV001656,8,59.9,9754.625,78037,True
INV001662,6,60.2,11240.833333333334,67445,True
INV001672,9,34.0,10059.111111111111,90532,False
INV001673,11,49.3,7431.727272727273,81749,True
INV001680,9,58.9,5223.888888888889,47015,True
INV001683,7,72.5,11441.142857142857,80088,True
INV001689,6,83.6,9970.5,59823,True
INV001690,7,81.2,8933.142857142857,62532,True
INV001691,6,82.0,6774.666666666667,40648,True
INV001694,8,66.1,18368.125,146945,True
INV001697,9,62.5,13125.777777777777,118132,True
INV001699,6,83.2,17326.0,103956,True
INV001709,6,51.8,8376.5,50259,True
INV001711,7,65.8,3770.0,26390,True
INV001712,6,66.6,11045.666666666666,66274,True
INV001715,8,68.3,12951.625,103613,True
INV001718,6,84.0,25318.166666666668,151909,True
INV001724,7,69.7,12511.42857142857,87580,True
INV001728,8,50.6,17874.75,142998,True
INV001737,7,56.8,14734.42857142857,103141,True
INV001738,9,47.5,17476.444444444445,157288,True
INV001739,9,52.5,12635.666666666666,113721,True
INV001741,6,89.4,15788.166666666666,94729,True
INV001744,7,78.5,12068.42857142857,84479,True
INV001752,7,69.3,7283.142857142857,50982,True
INV001753,11,42.8,10154.90909090909,111704,True
INV001757,8,55.6,2015.125,16121,True
INV001759,10,49.6,10821.5,108215,True
INV001769,6,98.0,4826.166666666667,28957,True
INV001772,6,95.0,18857.666666666668,113146,True
INV001775,8,29.1,11608.0,92864,False
INV001777,9,57.6,12815.555555555555,115340,True
INV001778,8,63.6,6840.125,54721,True
INV001797,7,79.7,6479.285714285715,45355,True
INV001800,7,49.7,14341.714285714286,100392,True
INV001802,7,61.7,14196.57142857143,99376,True
INV001803,6,59.0,4939.666666666667,29638,True
INV001804,8,55.9,12216.75,97734,True
INV001806,8,60.0,12282.5,98260,True
INV001809,6,95.6,11156.166666666666,66937,True
INV001811,9,54.2,26043.333333333332,234390,True
INV001822,6,19.8,7183.833333333333,43103,False
INV001823,8,58.1,3860.75,30886,True
INV001826,6,51.2,7166.833333333333,43001,True
INV001828,8,44.4,7160.25,57282,True
INV001831,6,72.8,7961.0,47766,True
INV001837,7,62.8,10719.142857142857,75034,True
INV001841,6,56.2,8121.5,48729,True
INV001853,8,47.4,19761.125,158089,True
INV001858,8,55.1,13899.75,111198,True
INV001865,7,63.5,5355.714285714285,37490,True
INV001866,6,58.8,8723.666666666666,52342,True
INV001870,7,76.0,21588.428571428572,151119,True
INV001871,7,55.0,14958.42857142857,104709,True
INV001883,6,99.2,2790.8333333333335,16745,True
INV001885,6,71.2,2719.0,16314,True
INV001886,9,50.8,8210.888888888889,73898,True
INV001890,6,102.6,1315.0,7890,True
INV001891,6,96.4,3694.8333333333335,22169,True
INV001909,8,62.1,9714.5,77716,True
INV001912,6,86.4,12097.5,72585,True
INV001920,7,39.0,15915.142857142857,111406,True
INV001921,8,68.6,11786.75,94294,True
INV001923,7,80.7,6001.571428571428,42011,True
INV001924,7,59.2,13699.42857142857,95896,True
INV001927,6,58.8,7121.5,42729,True
INV001929,6,66.2,11247.333333333334,67484,True
INV001937,8,60.4,6505.375,52043,True
INV001938,9,43.0,5215.0,46935,True
INV001943,6,74.4,10632.0,63792,True
INV001950,7,60.2,12626.142857142857,88383,True
INV001951,7,58.8,5691.428571428572,39840,True
INV001954,6,86.8,6360.666666666667,38164,True
INV001955,6,76.0,13351.0,80106,True
INV001961,6,83.4,14541.666666666666,87250,True
INV001969,6,79.2,3763.0,22578,True
INV001971,8,54.7,12025.875,96207,True
INV001972,8,42.4,18490.125,147921,True
INV001978,6,83.2,5564.5,33387,True
INV001979,6,55.4,13043.666666666666,78262,True
INV001982,6,85.8,19808.166666666668,118849,True
INV001986,7,47.7,13367.42857142857,93572,True
INV001987,7,67.0,14521.57142857143,101651,True
INV001990,8,45.3,7516.625,60133,True
INV001993,6,56.6,7042.166666666667,42253,True
INV001995,6,48.6,12736.333333333334,76418,True
INV001997,6,88.6,3846.3333333333335,23078,True
INV002001,6,84.8,5999.5,35997,True
INV002006,6,73.6,9379.666666666666,56278,True
INV002010,6,74.6,18560.666666666668,111364,True
INV002017,7,44.7,6871.285714285715,48099,True
INV002018,6,63.6,3798.6666666666665,22792,True
INV002019,6,68.8,8477.666666666666,50866,True
INV002025,7,55.8,7504.428571428572,52531,True
INV002033,7,55.0,6168.857142857143,43182,True
INV002034,8,69.0,9410.75,75286,True
INV002037,6,33.2,9719.5,58317,False
INV002038,6,84.0,14840.333333333334,89042,True
INV002051,6,78.6,16852.0,101112,True
INV002052,7,44.2,20547.428571428572,143832,True
INV002069,10,47.6,8274.6,82746,True
INV002070,7,81.3,10141.857142857143,70993,True
INV002083,10,51.7,14275.3,142753,True
INV002085,6,65.0,14839.166666666666,89035,True
INV002090,6,90.2,6395.833333333333,38375,True
INV002092,7,33.5,9051.142857142857,63358,False
INV002101,6,80.2,11856.666666666666,71140,True
INV002102,6,44.8,15130.333333333334,90782,True
INV002107,8,71.1,12583.375,100667,True
INV002111,8,62.4,10612.375,84899,True
INV002119,6,78.0,13785.0,82710,True
INV002121,7,68.5,9906.0,69342,True
INV002122,7,40.3,9555.857142857143,66891,True
INV002127,6,60.2,11070.833333333334,66425,True
INV002134,7,82.7,4146.857142857143,29028,True
INV002138,6,91.8,3383.0,20298,True
INV002142,9,45.5,13185.444444444445,118669,True
INV002143,8,63.6,9244.75,73958,True
INV002149,8,42.3,8878.0,71024,True
INV002150,6,73.6,9530.5,57183,True
INV002151,9,60.4,20587.777777777777,185290,True
INV002153,7,67.8,4018.714285714286,28131,True
INV002154,6,89.4,7097.833333333333,42587,True
INV002155,6,78.0,4045.0,24270,True
INV002157,7,58.5,9430.0,66010,True
INV002159,6,65.0,9659.5,57957,True
INV002162,9,58.4,19630.444444444445,176674,True
INV002166,6,99.2,14736.833333333334,88421,True
INV002171,7,55.8,7962.285714285715,55736,True
INV002177,7,73.0,13331.57142857143,93321,True
INV002178,8,66.4,8288.625,66309,True
INV002179,8,54.1,9659.5,77276,True
INV002182,7,70.5,18267.428571428572,127872,True
INV002185,6,48.4,14516.833333333334,87101,True
INV002186,7,74.8,15779.285714285714,110455,True
INV002187,7,67.8,7385.428571428572,51698,True
INV002195,9,49.2,15740.111111111111,141661,True
INV002196,8,62.1,15376.75,123014,True
INV002198,9,43.0,5559.444444444444,50035,True
INV002199,7,50.8,3259.0,22813,True
INV002202,8,70.4,2001.625,16013,True
INV002206,7,49.0,17122.285714285714,119856,True
INV002208,7,71.3,16272.42857142857,113907,True
INV002211,7,63.8,10842.285714285714,75896,True
INV002216,8,61.7,15309.0,122472,True
INV002218,6,67.8,13086.5,78519,True
INV002219,8,70.9,5199.875,41599,True
INV002228,6,68.6,12535.833333333334,75215,True
INV002229,6,64.6,18955.166666666668,113731,True
INV002230,8,57.6,21370.0,170960,True
INV002232,7,69.2,15024.42857142857,105171,True
INV002236,7,73.7,5463.714285714285,38246,True
INV002237,7,51.7,8752.0,61264,True
INV002240,7,77.8,4032.714285714286,28229,True
INV002241,7,65.7,5834.0,40838,True
INV002251,6,62.6,23459.0,140754,True
INV002256,6,75.6,14443.166666666666,86659,True
INV002259,7,45.3,19896.571428571428,139276,True
INV002260,6,77.8,7204.0,43224,True
INV002265,7,63.2,10667.142857142857,74670,True
